ticker,name,asset_class,sector,risk_bucket,primary_factor,secondary_factor,liquidity_tier,implementation_role,notes
LQD,iShares iBoxx Investment Grade Corporate Bond ETF,Fixed Income,Credit/IG,ig_credit,credit_risk,liquidity,high,credit_core,Investment-grade credit ballast
HYG,iShares iBoxx High Yield Corporate Bond ETF,Fixed Income,Credit/HY,high_yield_credit,credit_risk,economic_growth,high,credit_risk,High-yield credit cycle monitor
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,Fixed Income,EM Credit,em_credit,credit_risk,em_risk,medium,em_credit,EM sovereign and credit risk sleeve
GLD,SPDR Gold Shares,Commodity,Gold,real_assets,inflation,geopolitical,high,inflation_hedge,Gold real-asset and geopolitical hedge proxy
SLV,iShares Silver Trust,Commodity,Silver,real_assets,inflation,commodities,medium,commodity_tilt,Silver commodity beta sleeve
USO,United States Oil Fund,Commodity,Oil,commodity_equity,inflation,commodities,medium,commodity_tilt,Oil price shock monitor
DBA,Invesco DB Agriculture Fund,Commodity,Agriculture,commodity_equity,inflation,commodities,medium,commodity_tilt,Agriculture inflation proxy
UUP,Invesco DB US Dollar Index Bullish Fund,FX,USD,usd_factor,usd,liquidity,medium,fx_hedge,USD strength stress monitor
EFA,iShares MSCI EAFE ETF,Equity,International DM,intl_equity,economic_growth,em_risk,high,intl_beta,Developed international equity beta
EEM,iShares MSCI Emerging Markets ETF,Equity,International EM,em_equity,em_risk,economic_growth,high,em_beta,Emerging markets risk sleeve
VEA,Vanguard FTSE Developed Markets ETF,Equity,International DM,intl_equity,economic_growth,em_risk,high,intl_completion,Developed markets completion
VWO,Vanguard FTSE Emerging Markets ETF,Equity,International EM,em_equity,em_risk,economic_growth,high,em_completion,Emerging markets completion
VIX,CBOE Volatility Index,Volatility,Volatility Index,volatility_monitor,volatility,equity_beta,monitor_only,monitor_only,Monitor only; not an investable holding; fetched via ^VIX
VXX,iPath Series B S&P 500 VIX Short-Term Futures ETN,Volatility,VIX Futures,volatility_trading,volatility,liquidity_stress,low,high_risk_prototype,High-risk prototype only; roll decay; not a long-term holding
