rule_id,regime_signal,condition_description,risk_level,priority,affected_factors,affected_strategies,recommended_action,action_severity,requires_human_review,data_inputs,notes
inflation_pressure,Inflation Pressure Regime,TIP and commodity proxies strengthen with breakeven or oil pressure confirmation,medium,3,inflation;commodities;rates;usd,inflation_protection_sleeve;energy_inflation_shock_rotation,Propose inflation shock hedge review and commodity sleeve check,propose,TRUE,TIP return;USO return;XLE proxy via USO return;UUP return;TLT return;SHY return,No daily overfitting; walk-forward evidence required; human review before tilt

usd_pressure,USD Strength Pressure,UUP outperforms with USD factor stress across risk assets,medium,3,usd;fx;equity_beta;commodities,usd_liquidity_stress_sleeve;gold_geopolitical_hedge_sleeve,Propose USD pressure hedge review and cross-asset confirmation check,propose,TRUE,UUP return;SPY return;QQQ return;GLD return;USO return;EM proxy via IWM return,Human review before defensive FX-linked adjustment; monitor false positives

oil_shock,Oil Shock Regime,USO spike with energy sector stress and inflation confirmation,high,4,commodities;inflation;equity_beta,inflation_protection_sleeve;gold_geopolitical_hedge_sleeve;energy_inflation_shock_rotation,Propose commodity and inflation hedge review; flag energy shock monitor,escalate,TRUE,USO return;TIP return;UUP return;SPY return;XLE sector monitor via holdings,Commodity volatility risk; backtest stress scenarios required; human review before activation

geopolitical_shock,Geopolitical Shock Regime,High headline severity with cross-asset confirmation in gold USD rates and equities,high,5,geopolitical;equity_beta;credit;commodities;usd,gold_geopolitical_hedge_sleeve;defensive_sector_rotation;credit_stress_defensive_overlay,Pause or switch strategy candidate subject to backtest evidence and human approval,escalate,TRUE,headline severity;cross-asset confirmation;GLD return;UUP return;IEF return;USO return;SPY return;HYG return,Strategy switch is rare; headline false positives possible; mandatory human review

liquidity_stress,Liquidity Stress Regime,Short-duration and IG outperform HY with vol spike and broad risk asset stress,critical,5,liquidity;credit;volatility;equity_beta,credit_stress_defensive_overlay;defensive_sector_rotation;gold_geopolitical_hedge_sleeve;liquidity_first_defensive_portfolio,Critical risk escalation: propose liquidity defense and risk budget cut subject to human review,critical,TRUE,SHY return;IEF return;LQD return;HYG return;VIX level;VIX change;portfolio VaR;portfolio drawdown,Not automated trading; human review required before any switch or pause

strategy_drift,Strategy Drift Trigger,Strategy live return deviates from expected return band beyond tolerance,medium,3,strategy_performance;tracking,economic_growth_beta_sleeve;defensive_sector_rotation;inflation_protection_sleeve;credit_stress_defensive_overlay;gold_geopolitical_hedge_sleeve,Propose strategy monitoring review and drift explanation; no automatic switch,propose,TRUE,strategy live return;strategy expected return band;portfolio drawdown,Daily monitoring allowed; switch rare; backtest evidence required before replacement strategy

var_breach,Portfolio VaR Breach Trigger,Portfolio VaR exceeds risk limit or prior-day estimate band,high,5,portfolio_risk;volatility,economic_growth_beta_sleeve;defensive_sector_rotation;credit_stress_defensive_overlay;inflation_protection_sleeve;gold_geopolitical_hedge_sleeve,Reduce risk budget candidate and propose defensive review subject to human review,critical,TRUE,portfolio VaR;VIX level;portfolio drawdown;SPY return;HYG return,Human review mandatory; not a trade execution command; escalate to risk committee if persistent

drawdown_breach,Portfolio Drawdown Breach Trigger,Portfolio drawdown exceeds maximum drawdown threshold,high,4,equity_beta;portfolio_risk;volatility,defensive_sector_rotation;credit_stress_defensive_overlay,Propose defensive rotation review and drawdown risk controls subject to human review,escalate,TRUE,portfolio drawdown;SPY return;QQQ return;IWM return;VIX change;portfolio VaR,Strategy switch rare; human approval required; walk-forward evidence before activating replacement strategy

