strategy_id,strategy_name,category,objective,target_etfs,primary_factor,secondary_factor,valid_regime,invalid_regime,core_signal,target_tilt,risk_controls,rebalance_frequency,required_backtest,failure_mode,dashboard_action_label,human_review_required
value_recovery_sleeve,Value Recovery Sleeve,Style / Smart Beta,Tilt value factor when valuation spreads widen and macro supports re-rating,VLUE;IWD;XLF;IWM,value,economic_growth,value recovery;credit calm,high volatility;growth momentum extreme,Value spread and cyclical confirmation composite,Overweight VLUE IWD; monitor financials cyclicality,Value trap filter; turnover cap; human gate,Monthly with weekly monitor,Minimum 10y backtest; walk-forward; prolonged value drawdown risk; not WFO-complete,Value trap; macro mismatch; sector concentration,Propose value recovery sleeve review,TRUE
multi_factor_smart_beta_sleeve,Multi-Factor Smart Beta Sleeve,Style / Smart Beta,Blend quality momentum and value factor sleeves with risk controls,QUAL;MTUM;VLUE;USMV,multi_factor,economic_growth,risk-on;factor dispersion,high volatility;factor crash,Multi-factor scorecard with correlation-aware weights,Target balanced factor ETF mix within risk budget,Factor correlation cap; rebalance band; human review,Monthly with weekly monitor,Minimum 10y backtest; walk-forward; factor collision stress; prototype only,Factor crowding; simultaneous factor drawdown,Propose multi-factor sleeve review,TRUE
usd_liquidity_stress_sleeve,USD Liquidity Stress Sleeve,Cross-Asset Hedge / Stress,Monitor USD strength and liquidity stress for defensive positioning,UUP;SHY;IEF;GLD,usd,liquidity,usd pressure;liquidity stress,risk-on;usd weakness,USD factor stress with short-rate and gold confirmation,Increase UUP SHY IEF tilt; reduce EM and cyclical beta,FX shock filter; data gap pause; human review before action,Monthly with daily monitor,Minimum 10y backtest; walk-forward; false FX signal audit; not live trading,False USD signals; EM spillover; hedge cost,Propose USD liquidity stress review,TRUE
gold_geopolitical_hedge_sleeve,Gold Geopolitical Hedge Sleeve,Cross-Asset Hedge / Stress,Hedge geopolitical and safe-haven shocks using gold and defensive rates,GLD;IEF;UUP;USO,geopolitical,inflation,geopolitical shock;high severity news,risk-on calm,Headline severity with cross-asset confirmation,Increase GLD IEF UUP monitor weights by shock type,Headline false-positive filter; confirmation lag; mandatory human review,Event-driven with monthly baseline,Minimum 10y backtest; scenario library; headline precision audit; prototype,Headline false positives; short-lived shock; over-hedge cost,Propose geopolitical hedge review,TRUE
volatility_spike_monitor_sleeve,Volatility Spike Monitor Sleeve,Cross-Asset Hedge / Stress,Monitor vol spikes via VIX and stress proxies; no automatic switch,VIX;VXX;USMV;SHY,volatility,equity_beta,high volatility;vol expansion,low volatility,VIX level and change with equity stress confirmation,Monitor only; optional defensive tilt via USMV SHY; VXX prototype flagged,No VXX long-term hold; VIX monitor_only; human review mandatory,Daily monitor with monthly review,Minimum 10y backtest where applicable; VXX roll decay stress; prototype only,VXX decay; vol mean reversion; false spike,Flag volatility spike for human review,TRUE
credit_stress_defensive_overlay,Credit Stress Defensive Overlay,Cross-Asset Hedge / Stress,Reduce HY and cyclical beta when credit stress triggers fire,HYG;LQD;EMB;IWM;QQQ,credit_risk,liquidity,credit stress;liquidity stress,credit calm,HYG vs LQD and spread stress composite,Reduce HYG IWM QQQ; overweight LQD IEF SHY,Credit ceiling; pause on missing data; human escalation,Monthly with daily monitor,Minimum 10y backtest; walk-forward; crisis window library; prototype,False spread alarms; late re-risk,Propose credit defensive overlay review,TRUE
risk_parity_etf_sleeve,Risk Parity ETF Sleeve,Portfolio Construction / Completion,Balance risk contributions across equity rates and real assets sleeves,SPY;TLT;LQD;GLD;USMV,multi_asset_balance,volatility,risk-on;low volatility,concentrated one-factor shock,Risk contribution parity proxy across sleeve ETFs,Target balanced risk weights with rebalance bands,Risk budget cap; leverage prohibition; human review,Monthly with weekly monitor,Minimum 10y backtest; walk-forward; correlation breakdown stress; not live RP engine,Correlation spike; leverage misunderstanding; estimation error,Propose risk parity sleeve review,TRUE
factor_completion_portfolio,Factor Completion Portfolio,Portfolio Construction / Completion,Complete benchmark factor gaps using liquid ETF proxies,VTI;VEA;VWO;AGG;GLD,factor_completion,multi_factor,balanced macro,risk-off shock,Factor gap analysis versus policy benchmark,Fill missing factor exposures with low-cost ETFs,Tracking error budget; liquidity tier minimum; human gate,Quarterly with monthly monitor,Minimum 10y backtest; walk-forward; completion drift audit; prototype,Factor mismatch; over-completion; cost drag,Propose factor completion review,TRUE
low_cost_factor_replication,Low-Cost Factor Replication,Portfolio Construction / Completion,Replicate target factors using low-cost broad and smart-beta ETFs,VTI;QUAL;VLUE;USMV;AGG,implementation_cost,multi_factor,balanced implementation,illiquid stress,Expense and tracking efficiency scorecard,Prefer low-cost ETFs meeting factor mapping,Expense ratio cap; trade size minimum; human review,Quarterly with monthly monitor,Minimum 10y backtest; walk-forward; cost and tracking study; prototype,Tracking error; factor drift; cost underestimation,Propose low-cost replication review,TRUE
liquidity_first_defensive_portfolio,Liquidity First Defensive Portfolio,Portfolio Construction / Completion,Prioritize liquid defensive assets under stress,SHY;IEF;LQD;USMV;GLD,liquidity,defensive_quality,liquidity stress;risk-off,risk-on momentum,Liquidity tier score and spread stress trigger,Overweight SHY IEF LQD USMV GLD,Liquidity minimum; turnover cap; human review before shift,Monthly with daily monitor,Minimum 10y backtest; walk-forward; liquidity crisis scenarios; prototype,Opportunity cost; underweight recovery; data gaps,Propose liquidity-first defensive review,TRUE
